Date;Open;High;Low;Close;Adj Close;Volume;C/V
2000-01-03;7,76;7,76;7,01;7,16;6,32;1121444;0
2000-01-04;6,83;6,83;6,30;6,30;5,57;1432068;1
2000-01-05;6,45;6,59;6,22;6,54;5,78;1100888;0
2000-01-06;6,48;6,48;6,30;6,33;5,59;523036;1
2000-01-07;6,56;6,57;6,35;6,52;5,76;480782;1
2000-01-10;6,61;6,70;6,58;6,58;5,81;432818;0
2000-01-11;6,73;6,73;6,23;6,23;5,50;268370;1
2000-01-12;6,32;6,40;6,22;6,26;5,53;447664;1
2000-01-13;6,48;6,57;6,13;6,30;5,57;425966;0
2000-01-14;6,30;6,48;6,13;6,25;5,52;422540;1
2000-01-17;6,13;6,48;6,13;6,39;5,64;278648;1
2000-01-18;6,30;6,57;6,30;6,57;5,80;485350;0
2000-01-19;6,49;6,80;6,35;6,35;5,61;847364;1
2000-01-20;6,52;6,52;6,37;6,44;5,68;427108;1
2000-01-21;6,44;6,57;6,13;6,57;5,80;440812;0
2000-01-24;6,56;6,83;6,39;6,52;5,76;532172;1
2018-01-26;20,03;20,20;19,62;19,79;19,66;3511200;1
2018-01-29;19,74;20,05;19,64;20,05;19,92;3476200;1
2018-01-30;20,04;20,31;19,81;20,25;20,12;3032800;0
2018-01-31;20,35;20,44;19,92;20,02;19,89;3833200;1
2018-02-01;20,20;20,40;20,05;20,40;20,27;3817600;1
2018-02-02;20,35;22,29;20,12;21,30;21,16;11919500;0
2018-02-05;21,50;21,80;20,77;20,92;20,79;5866600;1
2018-02-06;20,56;22,00;20,20;22,00;21,86;9703700;0
2018-02-07;22,00;22,27;21,45;21,69;21,55;4514700;0
2018-02-08;21,80;22,47;21,56;21,60;21,46;5273600;0
2018-02-09;21,75;21,84;20,92;21,44;21,30;2748300;1
2018-02-14;21,75;22,08;21,44;21,75;21,61;2583300;1
2018-02-15;21,85;22,08;21,64;21,89;21,75;2726400;1
2018-02-16;22,04;22,13;21,65;22,13;21,99;4086200;1
2018-02-19;22,15;22,60;22,00;22,60;22,46;2103700;0
2018-02-20;22,58;22,58;22,16;22,47;22,33;1805600;0
2018-02-21;22,33;22,85;22,26;22,37;22,23;3452200;1
2018-02-22;22,56;22,69;22,22;22,39;22,25;2867000;1
2018-02-23;22,50;22,60;22,21;22,60;22,46;2672100;1
2018-02-26;23,20;23,40;22,40;22,62;22,48;3492500;1
2018-02-27;22,62;22,88;22,51;22,84;22,69;4057400;0
2018-02-28;22,69;22,69;21,38;21,76;21,62;7967200;0
2018-03-01;21,90;22,13;21,51;21,60;21,46;1932200;0
2018-03-02;21,64;21,89;21,16;21,50;21,36;1946500;1
2018-03-05;21,61;21,67;21,29;21,62;21,48;1452000;0
2018-03-06;21,70;21,88;21,03;21,03;20,90;1902800;1
2018-03-07;21,07;21,43;20,72;21,43;21,29;2397400;0
2018-03-08;21,20;21,20;20,00;20,75;20,62;7167500;1
2018-03-09;21,05;22,24;20,81;22,20;22,06;4181600;0
2018-03-12;22,50;22,55;21,80;21,97;21,83;2577600;0
2018-03-13;22,16;22,34;21,00;21,72;21,58;3717600;0
2018-03-14;21,70;21,86;21,08;21,12;20,99;2099900;0
2018-03-15;21,14;21,25;20,67;20,82;20,69;3113200;0
2018-03-16;20,96;20,96;20,67;20,78;20,67;3103000;0
2018-03-19;20,40;20,90;20,40;20,59;20,48;1773400;0
2018-03-20;20,90;20,90;20,24;20,44;20,33;2497400;1
2018-03-21;21,58;21,64;21,14;21,50;21,38;3853000;0
2018-03-22;21,30;21,59;21,11;21,25;21,14;2505100;0
2018-03-23;21,18;21,30;20,84;21,21;21,10;1540300;1
2018-03-26;21,51;21,51;21,04;21,40;21,28;1317100;1
2018-03-27;21,30;21,82;21,16;21,46;21,34;1890600;0
2018-03-28;21,12;21,41;21,04;21,40;21,28;1558200;1
2018-03-29;21,44;21,70;21,25;21,55;21,43;2710400;0
2018-04-02;21,70;21,70;21,13;21,30;21,18;1374700;1
2018-04-03;21,20;21,69;21,20;21,60;21,48;1555600;0
2018-04-04;21,67;21,67;20,95;21,28;21,16;1780100;1
2018-04-05;21,60;21,86;21,21;21,77;21,65;1831400;0
2018-04-06;21,77;21,89;21,35;21,65;21,53;2702800;0
2018-04-09;21,69;21,69;20,91;20,99;20,88;1783800;1
2018-04-10;21,30;22,40;20,94;22,40;22,28;3922000;1
2018-04-11;22,97;23,93;22,80;23,29;23,16;6446600;0
2018-04-12;23,40;23,76;22,81;23,02;22,90;3619100;1
2018-04-13;23,30;23,63;22,72;23,07;22,95;2420900;0
2018-04-16;23,33;23,39;22,61;22,70;22,58;2362100;1
2018-04-17;22,69;23,17;22,52;23,00;22,88;1798900;0
2018-04-18;23,19;23,33;22,64;22,80;22,68;3059700;0
2018-04-19;22,70;22,90;22,43;22,77;22,65;2419400;1
2018-04-20;23,32;24,40;23,32;23,50;23,37;4538100;1
2018-04-23;23,47;23,95;23,31;23,70;23,57;1671000;0
2018-04-24;23,95;24,00;23,00;23,46;23,40;1919800;0
2018-04-25;23,19;23,47;22,88;23,10;23,05;2884100;1
2018-04-26;23,15;23,30;22,87;23,18;23,12;1455800;0
2018-04-27;22,85;23,09;21,90;22,58;22,53;6576300;0
2018-04-30;22,61;22,69;21,74;22,14;22,09;2723400;0
2018-05-02;22,17;22,27;21,64;22,04;21,99;2429900;1
2018-05-03;22,37;22,38;21,81;22,12;22,07;2403900;0
2018-05-04;22,00;22,13;21,66;21,98;21,93;2291200;1
2018-05-07;21,80;22,25;21,68;22,02;21,97;1596600;1
2018-05-08;22,16;22,50;21,82;22,29;22,24;2596100;1
2018-05-09;22,50;23,08;22,10;23,08;23,03;2741900;0
2018-05-10;23,10;23,72;22,02;22,47;22,42;7781100;0
2018-05-11;22,27;22,85;22,10;22,36;22,31;3166800;0
2018-05-14;22,38;22,68;21,39;22,16;22,11;3654500;1
2018-05-15;21,79;23,30;21,63;23,10;23,05;3367300;1
2018-05-16;22,93;23,46;22,85;23,30;23,24;1914500;0
2018-05-17;23,06;23,20;22,57;22,75;22,70;3767800;1
2018-05-18;22,55;22,86;22,35;22,86;22,81;3627600;0
2018-05-21;23,06;23,63;22,55;22,62;22,57;2978100;0
2018-05-22;22,80;22,80;22,16;22,62;22,57;2417300;1
2018-05-23;22,68;23,51;22,68;22,95;22,90;2547500;1
2018-05-24;22,94;23,28;22,53;23,20;23,14;2388700;1
2018-05-25;23,20;23,40;22,99;23,40;23,34;2230000;0
2018-05-28;22,95;23,07;22,10;22,35;22,30;2528700;0
2018-05-29;22,40;23,06;22,02;22,07;22,02;4338300;1
2018-05-30;21,93;22,50;21,43;22,49;22,44;5802100;1
2018-06-01;22,67;22,89;22,16;22,79;22,74;2180700;0
