Date,Open,High,Low,Close,Adj Close,Volume,C/V
2000-01-04,5.55,5.55,5.55,5.55,3.94,28861440000,0
2000-01-05,5.49,5.49,5.49,5.49,3.90,43033600000,0
2000-01-06,5.48,5.48,5.48,5.48,3.88,34055680000,0
2000-01-07,5.50,5.50,5.50,5.50,3.90,20912640000,1
2000-01-10,5.61,5.61,5.61,5.61,3.98,19563520000,1
2000-01-11,5.48,5.48,5.48,5.48,3.88,23987200000,0
2000-01-12,5.48,5.48,5.48,5.48,3.89,23301120000,1
2000-01-13,5.33,5.33,5.33,5.33,3.78,26383360000,0
2000-01-14,5.40,5.40,5.40,5.40,3.83,16657920000,1
2000-01-17,5.34,5.34,5.34,5.34,3.79,16573440000,0
2000-01-18,5.36,5.36,5.36,5.36,3.80,17925120000,1
2000-01-19,5.33,5.33,5.33,5.33,3.78,38883840000,0
2000-01-20,5.31,5.31,5.31,5.31,3.77,26268160000,0
2000-01-21,5.20,5.20,5.20,5.20,3.69,17512960000,0
2000-01-24,5.16,5.16,5.16,5.16,3.66,18385920000,0
2000-01-26,5.23,5.23,5.23,5.23,3.71,25917440000,1
2000-01-27,5.19,5.19,5.19,5.19,3.68,38379520000,0
2000-01-28,5.19,5.19,5.19,5.19,3.68,17894400000,0
2000-01-31,5.10,5.10,5.10,5.10,3.62,32266240000,0
2000-02-01,5.20,5.20,5.20,5.20,3.69,23672320000,1
2000-02-02,5.30,5.30,5.30,5.30,3.76,14272000000,1
2000-02-03,5.45,5.45,5.45,5.45,3.86,25950720000,1
2000-02-04,5.59,5.59,5.59,5.59,3.96,21199360000,1
2000-02-07,5.63,5.63,5.63,5.63,3.99,20613120000,1
2000-02-08,5.75,5.75,5.75,5.75,4.08,31498240000,1
2000-02-09,5.63,5.63,5.63,5.63,3.99,15600640000,0
2000-02-10,5.46,5.46,5.46,5.46,3.87,18600960000,0
2000-02-11,5.29,5.29,5.29,5.29,3.75,25297920000,0
2000-02-14,5.21,5.21,5.21,5.21,3.70,10119680000,0
2000-02-15,5.31,5.31,5.31,5.31,3.77,33546240000,1
2000-02-16,5.74,5.74,5.74,5.74,4.07,73564160000,1
2000-02-17,5.69,5.69,5.69,5.69,4.03,21411840000,0
2000-02-18,5.56,5.56,5.56,5.56,3.94,22484480000,0
2000-02-21,5.55,5.55,5.55,5.55,3.94,18700800000,0
2000-02-22,5.53,5.53,5.53,5.53,3.92,22474240000,0
2000-02-23,5.56,5.56,5.56,5.56,3.94,20334080000,1
2000-02-24,5.71,5.71,5.71,5.71,4.05,32931840000,1
2000-02-25,5.86,5.86,5.86,5.86,4.16,36958720000,1
2000-02-28,5.75,5.75,5.75,5.75,4.08,11596800000,0
2000-02-29,5.78,5.78,5.78,5.78,4.10,24322560000,1
2000-03-01,5.88,5.88,5.88,5.88,4.17,23828480000,1
2000-03-02,5.84,5.84,5.84,5.84,4.14,24053760000,0
2000-03-03,6.04,6.04,6.04,6.04,4.28,13217280000,1
2000-03-08,6.18,6.18,6.18,6.18,4.38,8337920000,1
2000-03-09,6.40,6.40,6.40,6.40,4.54,21578240000,1
2000-03-10,6.21,6.21,6.21,6.21,4.41,14763520000,0
2000-03-14,5.81,5.81,5.81,5.81,4.12,28421120000,0
2000-03-15,5.89,5.89,5.89,5.89,4.18,25216000000,1
2000-03-16,5.93,5.93,5.93,5.93,4.20,23298560000,1
2000-03-17,5.86,5.86,5.86,5.86,4.16,18447360000,0
2000-03-20,5.69,5.69,5.69,5.69,4.03,16012800000,0
2000-03-21,5.80,5.80,5.80,5.80,4.11,25492480000,1
2000-03-22,5.81,5.81,5.81,5.81,4.12,25113600000,1
2000-03-23,5.81,5.81,5.81,5.81,4.12,26447360000,0
2000-03-24,5.81,5.81,5.81,5.81,4.12,15249920000,0
2000-03-27,6.25,6.25,6.25,6.25,4.43,22727680000,1
2000-03-28,5.99,5.99,5.99,5.99,4.25,16906240000,0
2000-03-29,5.96,5.96,5.96,5.96,4.23,21788160000,0
2000-03-30,5.83,5.83,5.83,5.83,4.13,16432640000,0
2000-03-31,5.90,5.90,5.90,5.90,4.18,20659200000,1
2000-04-03,5.85,5.85,5.85,5.85,4.15,18083840000,0
2000-04-04,5.82,5.82,5.82,5.82,4.13,33208320000,0
2000-04-05,6.06,6.06,6.06,6.06,4.30,40258560000,1
2000-04-06,6.15,6.15,6.15,6.15,4.36,24975360000,1
2000-04-07,6.19,6.19,6.19,6.19,4.39,19161600000,1
2000-04-10,6.05,6.05,6.05,6.05,4.29,13194240000,0
2000-04-11,5.90,5.90,5.90,5.90,4.18,21875200000,0
2000-04-12,6.04,6.04,6.04,6.04,4.28,45626880000,1
2000-04-13,5.90,5.90,5.90,5.90,4.18,40263680000,0
2000-04-17,5.25,5.25,5.25,5.25,3.72,66396160000,0
2000-04-18,5.41,5.41,5.41,5.41,3.84,50900480000,1
2000-04-19,5.09,5.09,5.09,5.09,3.61,38799360000,0
2000-04-20,5.10,5.10,5.10,5.10,3.62,17896960000,1
2000-04-24,5.00,5.00,5.00,5.00,3.55,20638720000,0
2000-04-25,5.45,5.45,5.45,5.45,3.86,38284800000,1
2000-04-26,5.37,5.37,5.37,5.37,3.81,22627840000,0
2000-04-27,5.38,5.38,5.38,5.38,3.81,43991040000,1
2000-04-28,5.38,5.38,5.38,5.38,3.81,25940480000,1
2000-05-02,5.51,5.51,5.51,5.51,3.90,19975680000,1
